case_category,description,next_step
Criminal Law,Cases related to crimes against individuals or society,"Charge Sheet;Witness Statements,Consult a lawyer;Attend court;Gather evidence"
Civil Law,Disputes between individuals or organizations,"Property Documents,File a lawsuit;Attempt mediation"
Family Law,"Cases related to marriage, divorce, and child custody","Divorce Petition;Child Custody Papers,File a petition;Attend court hearings"
Property Law,Disputes regarding land and property ownership,"Property Tax Receipts;Encumbrance Certificate,Verify documents;Consult a property lawyer"
Consumer Law,"Cases related to consumer rights violations,Invoice","Warranty Card;Complaint Letter,File a consumer complaint;Seek compensation"
Corporate Law,Legal matters involving businesses and corporations,"Financial Statements;Business Agreements,Consult a corporate lawyer;Review contracts"
Employment Law,Disputes related to workplace and labor rights,"Salary Slips;Termination Letter,Report to labor department;File a case if necessary"
Tax Law,Cases related to tax disputes and compliance,"Audit Reports;PAN Card,Consult a tax advisor;File a tax dispute appeal"
Intellectual Property Law,"Issues related to patents, copyrights, and trademarks,Patent Certificate","Trademark Registration;Copyright Documents,Register your IP;File infringement case if needed"
Constitutional Law,"Cases involving fundamental rights and government policies,Government Orders;Court Judgments;Petitions,File a writ petition","Petitions,File a writ petition;Seek legal counsel"
Environmental Law,"Cases concerning environmental violations and regulations,Environmental Clearance;Pollution Reports;Government Notices,Report violation","Government Notices,Report violation;File a case in environmental court"
Cyber Law,"Cases related to internet fraud, hacking, and online crime,Cyber Crime Report;Screenshots;Transaction Details,Report to cyber cell","Screenshots;Transaction Details,Report to cyber cell;File a legal complaint"
Human Rights Law,"Cases concerning human rights violations,Affidavits","Police Reports;NGO Statements,File a petition in the Human Rights Commission"
Civil Rights,"Cases involving discrimination, equal protection, and human rights violations.","Evidence of discrimination, civil rights law references, witness statements;File complaints with civil rights organizations or take legal action in federal courts."
Due Process,"Cases ensuring legal rights such as fair trials, legal representation, and procedural fairness.","Court orders, legal defense filings, rights violation evidence;Appeal to a higher court or seek a judicial review."
First Amendment,"Cases concerning free speech, religious rights, and press freedom.","Government actions, constitutional references, media content evidence;File a case under constitutional law or with the Supreme Court."
Criminal Procedure,"Cases related to the legal process for prosecuting crimes, including due process and fair trial rights.","Police reports, arrest warrants, court proceedings;Engage a defense attorney, prepare for trial, or negotiate plea agreements."
Privacy,"Cases related to personal privacy, data protection, or surveillance laws.","Privacy agreements, evidence of breach, data protection policies;File a complaint with regulatory authorities or pursue civil litigation."
Federal Taxation,"Disputes over federal tax laws, IRS regulations, or tax fraud cases.","Tax returns, financial audits, IRS notices;File a case with the Tax Court or appeal to higher authorities."
Economic Activity,"Cases involving business regulations, trade, and financial laws.","Business licenses, financial reports, regulatory compliance documents;File complaints with regulatory bodies or take legal action in business courts."
Judicial Power,Cases that determine the authority and limits of the judicial branch.,"Court rulings, constitutional references, judicial precedents;File under constitutional review or in appellate cour"
Unions,"Cases related to labor unions, collective bargaining, and employment disputes.","Employment contracts, union agreements, labor law references;Seek arbitration, mediation, or file with the National Labor Relations Board (NLRB)."
Federalism,Disputes over the division of powers between state and federal governments.,"Constitutional references, legislative acts, case precedents;File with the Supreme Court if it concerns constitutional law."
Attorneys,"Cases related to legal malpractice, misconduct, or bar association regulations.","Attorney-client agreements, malpractice claims, bar certification;File a complaint with the Bar Association, pursue disciplinary action, or seek legal redress."
Miscellaneous,Cases that do not fit into standard legal categories but still require judicial intervention.,Case-specific documents depending on the nature of the dispute;Consult a legal expert to determine the correct jurisdiction and legal approach.
Interstate Relations,Cases involving legal disputes between two or more states or their citizens.,"Legal agreements, interstate contracts, historical precedents;File in federal court or the Supreme Court under Article III jurisdiction."
Private Action,"Disputes between private individuals or organizations, often involving contracts or property rights.","Contract agreements, evidence of damages, witness statements;File a lawsuit in civil court, seek mediation, or negotiate a settlement."
